№ відділення /платіжного пристрою,Вірний варіант,,Варіанти
5911,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5881,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5706,"{city='Благовіщенськ', district='Благовіщенський', region='Кіровоградська'}", Ульянівка not unique,"   [{city='Ульянівка', district='Маловисківський', region='Кіровоградська'}, {city='Ульянівка', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5687,"{city='Шевченкове', district='Кіровоградський', region='Кіровоградська'}", Шевченкове not unique,"   [{city='Шевченкове', district='Кіровоградський', region='Кіровоградська'}, {city='Шевченкове', district='Маловисківський', region='Кіровоградська'}]""}]}"
5679,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5673,"{city='Рівне', district='Новоукраїнський', region='Кіровоградська'}", Рівне not unique,"   [{city='Рівне', district='Новомиргородський', region='Кіровоградська'}, {city='Рівне', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5670,"{city='Рівне', district='Новоукраїнський', region='Кіровоградська'}", Рівне not unique,"   [{city='Рівне', district='Новомиргородський', region='Кіровоградська'}, {city='Рівне', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5666,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
5660,"{city='Рівне', district='Новоукраїнський', region='Кіровоградська'}", Рівне not unique,"   [{city='Рівне', district='Новомиргородський', region='Кіровоградська'}, {city='Рівне', district='Новоукраїнський', region='Кіровоградська'}]""}]}"
5654,"{city='Олександрівка', district='Олександрівський', region='Кіровоградська'}", Олександрівка not unique,"   [{city='Олександрівка', district='Голованівський', region='Кіровоградська'}, {city='Олександрівка', district='Добровеличківський', region='Кіровоградська'}, {city='Олександрівка', district='Долинський', region='Кіровоградська'}, {city='Олександрівка', district='Кіровоградський', region='Кіровоградська'}, {city='Олександрівка', district='Маловисківський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрівський', region='Кіровоградська'}, {city='Олександрівка', district='Олександрійський', region='Кіровоградська'}, {city='Олександрівка', district='Петрівський', region='Кіровоградська'}, {city='Олександрівка', district='Устинівський', region='Кіровоградська'}]""}]}"
